Keith_Carnal, Hundge
Keith_Carnal, Irrational Behavior
Keith_Carnal, Keep
Keith_Carnal, Shallow
Keith_Carnal, Untold
ANGLE Luca_Agnelli, Hold Your Breath
Barnt, If She Says She Is A Healer, She Is A Healer
Bastinov Luca_Agnelli, Pentagon
Bastinov, Space Programmer
Bjarki, This 5321
Blawan, 993
Dubiosity Pjotr_G, Black Frost
Dubiosity Pjotr_G, Bootstrap
Juxta_Position, The Darkness
Christian_Smith, Force Majeure
CPI Barnt, Proceso
Danny_Daze, Pop
Dast Luca_Agnelli, Pangea
DJ_Tennis, Chirality
Dodi_Palese, Brainscapes
Fables, Burn
Narciss, Epilog
Fango, Cortex
Fango, Lampo
Fango, Medulla
Fango, Tuono
Fango, Valvae 
Fango, Vena Cava
Hedrome, Act of Confusion
I_Hate_Models, Shades of Night
I_HATE_MODELS, Sorrows of the Moon
I_Hate_Models, Totsuka No Tsurugi
James_Ruskin, DVS1
Jean_Pierre Vega, Lemont
Jeroen_Search, Dal Segno 
Johannes_Heil, Gospel Four
Johannes_Heil, Gospel Thirteen
Johannes_Heil Markus_Suckut, Gospel Twelve
Jonas_Kopp, Metatron
Jonas_Kopp, The Quantic Room
Jonas_Kopp, Where Physic Ends
Kntrl Luca_Agnelli, Stay
Levon_Vincent, Small Whole Numbered Ratios
Maarten_Mittendorff, Futura
Mathew_Jonson, Marionette
Niki_Istrefi, Red Armor
Objection, Quantum
Oscar_Mulero, Second Skin
Reform Amelie_Lens, Checkmate
Regis, Blinding Horses
Roberto  Gibbus
Rod, Hor
Roman_Poncet, Atome II
Roman_Poncet, Atome I
Shed, Day After
Shifted, White Flare
SHNGL, Transcendental Apperception
Surgeon, Atol
Tensal, Artica Maex
Tensal, Luxura
Tiefschwarz Khan Roman_FluÌˆgel, Do Me
VII_Circle Farrago, Alpha
ZIPPO, Pharaohs Line
Laval, The Emotion Machine 
Jeff_Rushin, Form 
Hemka Moteka, Apogee
Dast, Ixor
Maxime_Dangles, Our Own Choices
Luca_Agnelli, Aplu
Taraval, Topaz's Way
Reform, Atlantide
Diego_Amura, Euphausia
Alan_Fitzpatrick, A Subtle Change
???The Age Of Love, The Age Of Love

Steve_Parker, The Prophet